Node	Cluster	Color	Origin
HSPA6	1	#FF0000FF	RWR Added
HSPD1	1	#FF0000FF	RWR Added
HSPA1B	1	#FF0000FF	RWR Added
STIP1	1	#FF0000FF	RWR Added
DEDD2	1	#FF0000FF	RWR Added
DYSF	1	#FF0000FF	RWR Added
DGAT2	1	#FF0000FF	Disease Gene
PDK3	1	#FF0000FF	Disease Gene
RGS16	1	#FF0000FF	RWR Added
STAT5B	1	#FF0000FF	RWR Added
TAGLN2	1	#FF0000FF	RWR Added
NFKB2	1	#FF0000FF	RWR Added
CD93	1	#FF0000FF	RWR Added
LACC1	1	#FF0000FF	RWR Added
ADAP2	1	#FF0000FF	RWR Added
BAG3	10	#CC0000FF	Disease Gene
CRYAB	10	#CC0000FF	Disease Gene
SGCB	10	#CC0000FF	RWR Added
DES	10	#CC0000FF	RWR Added
FLNC	10	#CC0000FF	RWR Added
MYOT	10	#CC0000FF	RWR Added
BIN1	10	#CC0000FF	RWR Added
DNM2	10	#CC0000FF	Disease Gene
TPM3	10	#CC0000FF	RWR Added
ACTA1	10	#CC0000FF	RWR Added
TRPV4	10	#CC0000FF	Disease Gene
ADCY6	10	#CC0000FF	RWR Added
ARHGEF10	10	#CC0000FF	Disease Gene
CNTNAP1	10	#CC0000FF	Disease Gene
PRDM12	2	#FF9900FF	Disease Gene
GJB2	2	#FF9900FF	RWR Added
GJB3	2	#FF9900FF	Disease Gene
PLS3	2	#FF9900FF	RWR Added
APP	2	#FF9900FF	RWR Added
ENDOD1	2	#FF9900FF	RWR Added
MACF1	2	#FF9900FF	RWR Added
DST	2	#FF9900FF	Disease Gene
ANKH	2	#FF9900FF	RWR Added
KIF1B	2	#FF9900FF	Disease Gene
WNK1	2	#FF9900FF	Disease Gene
SPTAN1	2	#FF9900FF	RWR Added
DYNC1H1	2	#FF9900FF	Disease Gene
ACO2	2	#FF9900FF	RWR Added
TUBG1	2	#FF9900FF	RWR Added
FAM126A	2	#FF9900FF	RWR Added
KIF5A	2	#FF9900FF	Disease Gene
KIF1A	2	#FF9900FF	Disease Gene
TRIM2	2	#FF9900FF	Disease Gene
RETREG1	2	#FF9900FF	Disease Gene
ELOVL1	2	#FF9900FF	RWR Added
AHNAK2	2	#FF9900FF	Disease Gene
GABARAPL1	2	#FF9900FF	RWR Added
SPATA6	2	#FF9900FF	RWR Added
LIFR	2	#FF9900FF	RWR Added
ARHGAP6	2	#FF9900FF	RWR Added
CLTCL1	2	#FF9900FF	Disease Gene
SORT1	2	#FF9900FF	RWR Added
TCEAL4	2	#FF9900FF	RWR Added
GPR137B	2	#FF9900FF	RWR Added
SGPL1	2	#FF9900FF	Disease Gene
HEXA	2	#FF9900FF	RWR Added
GNS	2	#FF9900FF	RWR Added
SLC44A2	2	#FF9900FF	RWR Added
NAGLU	2	#FF9900FF	Disease Gene
MOV10	2	#FF9900FF	RWR Added
ECE1	2	#FF9900FF	RWR Added
TRIM25	2	#FF9900FF	RWR Added
APOL2	2	#FF9900FF	RWR Added
PTPDC1	2	#FF9900FF	RWR Added
ARHGAP19	2	#FF9900FF	RWR Added
TMEM120A	2	#FF9900FF	RWR Added
HDAC11	2	#FF9900FF	RWR Added
PLA2G15	2	#FF9900FF	RWR Added
BEX3	2	#FF9900FF	RWR Added
GBA2	15	#0000CCFF	RWR Added
ALS2	15	#0000CCFF	RWR Added
APTX	15	#0000CCFF	RWR Added
ABHD12	15	#0000CCFF	RWR Added
ELOVL5	15	#0000CCFF	RWR Added
GJC2	15	#0000CCFF	RWR Added
SACS	15	#0000CCFF	Disease Gene
GARS	14	#358000FF	RWR Added
HSPB1	14	#358000FF	Disease Gene
YARS	14	#358000FF	Disease Gene
AARS	14	#358000FF	Disease Gene
KARS	14	#358000FF	Disease Gene
DCAF8	14	#358000FF	Disease Gene
ARL6IP1	12	#FFFF00FF	RWR Added
TDP1	12	#FFFF00FF	RWR Added
COX6A1	12	#FFFF00FF	Disease Gene
GAN	12	#FFFF00FF	RWR Added
DDHD1	12	#FFFF00FF	RWR Added
TFG	12	#FFFF00FF	Disease Gene
SIGMAR1	12	#FFFF00FF	RWR Added
MFN2	12	#FFFF00FF	Disease Gene
RAB7A	12	#FFFF00FF	Disease Gene
SPTLC1	12	#FFFF00FF	Disease Gene
HSPB3	12	#FFFF00FF	RWR Added
REEP1	12	#FFFF00FF	RWR Added
PLEKHG5	12	#FFFF00FF	Disease Gene
HSPB8	12	#FFFF00FF	Disease Gene
SLC5A7	12	#FFFF00FF	RWR Added
NEFL	12	#FFFF00FF	Disease Gene
INF2	12	#FFFF00FF	Disease Gene
LRSAM1	12	#FFFF00FF	Disease Gene
DNAJB2	12	#FFFF00FF	Disease Gene
