V1	V2	coexSPL.tsv	coexMSG.tsv	ppi.tsv	HP.tsv	coexKDN.tsv
COL6A2	COL12A1	0	0	0	1	0
COL6A2	FHL1	0	0	0	1	0
COL6A2	TIA1	0	0	0	1	0
MMP2	LAMA2	1	0	0	0	0
MMP2	COL6A3	0	0	1	0	0
MMP2	COL6A1	0	0	1	0	0
MMP2	B4GAT1	1	0	0	0	0
MMP2	COL12A1	0	0	1	0	0
MMP2	COL6A2	0	0	1	0	0
MMP2	MMP2	0	0	1	0	0
B3GALNT2	LAMB1	0	0	0	1	0
B3GALNT2	POMGNT2	0	0	0	1	0
B3GALNT2	DAG1	0	0	0	1	0
B3GALNT2	RXYLT1	0	0	0	1	0
B3GALNT2	B4GAT1	0	0	0	1	0
B3GALNT2	FKRP	0	0	0	1	0
B3GALNT2	POMT1	0	0	0	1	0
B3GALNT2	GMPPB	0	0	0	1	0
B3GALNT2	POMT2	0	0	0	1	0
B3GALNT2	POMGNT1	0	0	0	1	0
B3GALNT2	POMK	0	0	0	1	0
B3GALNT2	LARGE1	0	0	0	1	0
B3GALNT2	FKTN	0	0	0	1	0
RYR1	OR51I2	1	0	0	0	0
RYR1	ESR2	0	0	1	0	0
RYR1	LAMA2	0	0	0	1	0
RYR1	SGCA	0	1	0	1	0
RYR1	COL6A3	0	0	0	1	0
RYR1	COL6A1	0	0	0	1	0
RYR1	TCAP	0	1	0	0	0
RYR1	ITGA7	0	0	0	1	0
RYR1	DYSF	0	0	0	1	0
RYR1	FKRP	0	0	0	1	0
RYR1	TTN	0	1	1	1	0
RYR1	NEB	0	1	0	1	0
RYR1	ACTA1	0	1	0	1	0
RYR1	SELENON	0	0	0	1	0
RYR1	TPM3	0	0	0	1	0
RYR1	BIN1	0	1	0	1	0
RYR1	CHKB	0	0	0	1	0
RYR1	GMPPB	0	0	0	1	0
RYR1	FHL1	0	1	0	1	0
RYR1	COL6A2	0	0	0	1	0
RYR1	RYR1	0	0	1	0	0
DNM2	EGLN3	0	0	1	0	0
DNM2	GOLGA2	0	0	1	0	0
DNM2	ESR2	0	0	1	0	0
DNM2	DYSF	0	0	0	1	0
DNM2	FKRP	1	0	0	0	0
DNM2	TTN	0	0	0	1	0
DNM2	NEB	0	0	0	1	0
DNM2	ACTA1	0	0	0	1	0
DNM2	SELENON	0	0	0	1	0
DNM2	TPM3	0	0	0	1	0
