Node	Cluster	Color	Origin
DMPK	2	#FF9900FF	RWR Added
KIAA0895L	2	#FF9900FF	RWR Added
RECQL4	2	#FF9900FF	Disease Gene
UBR4	2	#FF9900FF	RWR Added
MLXIP	2	#FF9900FF	RWR Added
ILF3	2	#FF9900FF	RWR Added
SIN3A	2	#FF9900FF	RWR Added
KMT2D	2	#FF9900FF	Disease Gene
RBCK1	2	#FF9900FF	Disease Gene
EXTL3	2	#FF9900FF	Disease Gene
RNF31	2	#FF9900FF	Disease Gene
TTC7A	2	#FF9900FF	Disease Gene
SLC19A1	2	#FF9900FF	Disease Gene
REEP4	2	#FF9900FF	RWR Added
MIER2	2	#FF9900FF	RWR Added
IKBKG	2	#FF9900FF	Disease Gene
KDM6A	11	#FFCCCCFF	Disease Gene
MBD5	11	#FFCCCCFF	RWR Added
KMT2A	11	#FFCCCCFF	Disease Gene
CBL	11	#FFCCCCFF	RWR Added
RMRP	11	#FFCCCCFF	Disease Gene
FAT4	11	#FFCCCCFF	Disease Gene
CCBE1	11	#FFCCCCFF	Disease Gene
RNU4ATAC	11	#FFCCCCFF	Disease Gene
SEMA3E	11	#FFCCCCFF	Disease Gene
TBX1	11	#FFCCCCFF	Disease Gene
CYP2C19	12	#FFFF00FF	RWR Added
CYP26C1	12	#FFFF00FF	RWR Added
KHDC3L	12	#FFFF00FF	RWR Added
FOXN1	4	#00FF00FF	Disease Gene
SPINK5	4	#00FF00FF	Disease Gene
PKIB	4	#00FF00FF	RWR Added
NTRK1	4	#00FF00FF	RWR Added
SLC39A4	4	#00FF00FF	RWR Added
SLC22A9	4	#00FF00FF	RWR Added
PNPLA4	4	#00FF00FF	RWR Added
SLC46A1	4	#00FF00FF	Disease Gene
ACSF2	4	#00FF00FF	RWR Added
CRYL1	4	#00FF00FF	RWR Added
SELENON	4	#00FF00FF	RWR Added
RYR1	4	#00FF00FF	RWR Added
SPRYD3	4	#00FF00FF	RWR Added
EPS8L2	4	#00FF00FF	RWR Added
CEP170B	4	#00FF00FF	RWR Added
DIAPH1	4	#00FF00FF	Disease Gene
STIM1	4	#00FF00FF	Disease Gene
SH3GLB1	4	#00FF00FF	RWR Added
TFG	4	#00FF00FF	RWR Added
EXT2	4	#00FF00FF	RWR Added
APP	4	#00FF00FF	RWR Added
GRN	4	#00FF00FF	RWR Added
IKZF2	7	#99991EFF	Disease Gene
BACH1	7	#99991EFF	RWR Added
PARP4	7	#99991EFF	RWR Added
CALCOCO2	7	#99991EFF	RWR Added
