Node	Cluster	Color	Origin
MYLPF	2	#D10546	Disease Gene
MYO18B	2	#D10546	Disease Gene
MYOM1	2	#D10546	RWR Added
MYOM2	2	#D10546	RWR Added
MYOZ1	2	#D10546	RWR Added
NEFH	2	#D10546	Disease Gene
NEXN	2	#D10546	Disease Gene
NRAP	2	#D10546	RWR Added
NXF1	2	#D10546	RWR Added
PFKM	2	#D10546	Disease Gene
PKIA	2	#D10546	RWR Added
PLEKHG5	2	#D10546	Disease Gene
PLP1	2	#D10546	Disease Gene
POLR3B	2	#D10546	Disease Gene
POMGNT1	2	#D10546	Disease Gene
POMGNT2	2	#D10546	Disease Gene
POMT1	2	#D10546	Disease Gene
POMT2	2	#D10546	Disease Gene
POPDC3	2	#D10546	Disease Gene
PRKAG2	2	#D10546	Disease Gene
PUS1	2	#D10546	Disease Gene
RNF123	2	#D10546	RWR Added
RPL3L	2	#D10546	Disease Gene
SCN5A	2	#D10546	Disease Gene
SCN9A	2	#D10546	Disease Gene
SCO2	2	#D10546	Disease Gene
SDHA	2	#D10546	Disease Gene
SGCB	2	#D10546	Disease Gene
SGCD	2	#D10546	Disease Gene
SIGMAR1	2	#D10546	Disease Gene
SLC25A4	2	#D10546	Disease Gene
SMN1	2	#D10546	Disease Gene
SMPX	2	#D10546	Disease Gene
SMYD1	2	#D10546	RWR Added
SNTA1	2	#D10546	Disease Gene
SOD1	2	#D10546	Disease Gene
SORD	2	#D10546	Disease Gene
SPAST	2	#D10546	Disease Gene
SPG21	2	#D10546	Disease Gene
SPG7	2	#D10546	Disease Gene
SPTAN1	2	#D10546	Disease Gene
SPTB	2	#D10546	RWR Added
SPTLC1	2	#D10546	Disease Gene
SQSTM1	2	#D10546	Disease Gene
SRL	2	#D10546	RWR Added
STAC3	2	#D10546	Disease Gene
SUCLA2	2	#D10546	Disease Gene
SUMO1	2	#D10546	RWR Added
SVIL	2	#D10546	Disease Gene
TDP1	2	#D10546	Disease Gene
TFG	2	#D10546	Disease Gene
TIA1	2	#D10546	Disease Gene
TK2	2	#D10546	Disease Gene
TMEM43	2	#D10546	Disease Gene
TNNC2	2	#D10546	Disease Gene
TNNI1	2	#D10546	RWR Added
TNNI2	2	#D10546	Disease Gene
TNNI3	2	#D10546	Disease Gene
TNNT1	2	#D10546	Disease Gene
TNNT2	2	#D10546	Disease Gene
TNNT3	2	#D10546	Disease Gene
TOR1AIP1	2	#D10546	Disease Gene
TPM1	2	#D10546	Disease Gene
TRAPPC11	2	#D10546	Disease Gene
TRIM25	2	#D10546	RWR Added
TRIM32	2	#D10546	Disease Gene
TRIP4	2	#D10546	Disease Gene
TRPV4	2	#D10546	Disease Gene
TUBA4A	2	#D10546	Disease Gene
TWNK	2	#D10546	Disease Gene
UTRN	2	#D10546	RWR Added
VAMP1	2	#D10546	Disease Gene
VMA21	2	#D10546	Disease Gene
VRK1	2	#D10546	Disease Gene
XIRP1	2	#D10546	RWR Added
XIRP2	2	#D10546	RWR Added
XRCC1	2	#D10546	Disease Gene
YWHAQ	2	#D10546	RWR Added
YWHAZ	2	#D10546	RWR Added
AARS1	1	#D10505	RWR Added
AARS2	1	#D10505	Disease Gene
ABCC9	1	#D10505	Disease Gene
ABCD3	1	#D10505	RWR Added
ABHD16A	1	#D10505	Disease Gene
ABHD5	1	#D10505	Disease Gene
ACAD9	1	#D10505	Disease Gene
ACADVL	1	#D10505	Disease Gene
ACLY	1	#D10505	RWR Added
ACO2	1	#D10505	RWR Added
ACSS2	1	#D10505	RWR Added
ACTB	1	#D10505	RWR Added
ACTN1	1	#D10505	RWR Added
ACVR1	1	#D10505	Disease Gene
ADAMTS15	1	#D10505	Disease Gene
ADAP2	1	#D10505	RWR Added
ADAR	1	#D10505	RWR Added
ADAT3	1	#D10505	RWR Added
ADGRG6	1	#D10505	Disease Gene
ADPRHL2	1	#D10505	Disease Gene
