Node	Cluster	Color	Origin
LPCAT2	11	#FFCCCCFF	RWR Added
CXCL16	11	#FFCCCCFF	RWR Added
TNFRSF1B	11	#FFCCCCFF	RWR Added
CYBA	11	#FFCCCCFF	RWR Added
FERMT3	11	#FFCCCCFF	RWR Added
AKNA	9	#FF00CCFF	RWR Added
FMNL1	9	#FF00CCFF	RWR Added
KIF21B	9	#FF00CCFF	RWR Added
ACAP1	9	#FF00CCFF	RWR Added
AGAP2	9	#FF00CCFF	RWR Added
NUP210	9	#FF00CCFF	RWR Added
ANO9	9	#FF00CCFF	RWR Added
ARHGAP25	9	#FF00CCFF	RWR Added
GPR65	9	#FF00CCFF	RWR Added
RNASET2	9	#FF00CCFF	RWR Added
APOBEC3G	9	#FF00CCFF	RWR Added
LPXN	9	#FF00CCFF	RWR Added
OSBPL3	9	#FF00CCFF	RWR Added
PSD4	9	#FF00CCFF	RWR Added
DENND2D	9	#FF00CCFF	RWR Added
TMC6	9	#FF00CCFF	RWR Added
NLRC5	9	#FF00CCFF	RWR Added
ICOSLG	9	#FF00CCFF	Disease Gene
ST8SIA4	9	#FF00CCFF	RWR Added
ARHGAP15	9	#FF00CCFF	RWR Added
BTK	8	#999999FF	RWR Added
WAS	8	#999999FF	RWR Added
NCF4	8	#999999FF	RWR Added
MYO1F	8	#999999FF	RWR Added
DOCK2	8	#999999FF	Disease Gene
PTPRC	8	#999999FF	Disease Gene
FYB1	8	#999999FF	RWR Added
IKZF1	8	#999999FF	Disease Gene
IL10RA	8	#999999FF	RWR Added
PSTPIP1	8	#999999FF	RWR Added
TMC8	8	#999999FF	RWR Added
LIMD2	8	#999999FF	RWR Added
ITGB2	8	#999999FF	RWR Added
SELPLG	8	#999999FF	RWR Added
PIK3R5	8	#999999FF	RWR Added
CD53	8	#999999FF	RWR Added
ARHGAP30	8	#999999FF	RWR Added
SASH3	8	#999999FF	Disease Gene
HLA-DRA	8	#999999FF	RWR Added
CD74	8	#999999FF	RWR Added
FCGR3A	8	#999999FF	RWR Added
VAV1	8	#999999FF	RWR Added
NCF2	8	#999999FF	RWR Added
LCP1	8	#999999FF	RWR Added
IRF8	8	#999999FF	RWR Added
CORO1A	8	#999999FF	Disease Gene
CASP1	6	#CC33FFFF	RWR Added
INPP5D	6	#CC33FFFF	RWR Added
LCP2	6	#CC33FFFF	Disease Gene
PTPN6	6	#CC33FFFF	RWR Added
RAC2	6	#CC33FFFF	Disease Gene
PIK3CD	6	#CC33FFFF	RWR Added
PLCG2	6	#CC33FFFF	RWR Added
BLNK	6	#CC33FFFF	RWR Added
MAP4K1	6	#CC33FFFF	RWR Added
TRAF3IP3	6	#CC33FFFF	RWR Added
CARD11	6	#CC33FFFF	Disease Gene
CIITA	6	#CC33FFFF	Disease Gene
NCF1	6	#CC33FFFF	RWR Added
PRKCB	6	#CC33FFFF	RWR Added
GPR132	6	#CC33FFFF	RWR Added
KLHL6	6	#CC33FFFF	RWR Added
MYO1G	6	#CC33FFFF	RWR Added
SAMSN1	6	#CC33FFFF	RWR Added
ARL4C	6	#CC33FFFF	RWR Added
