Node	Cluster	Color	Origin
IFIT1	2	#FF9900FF	RWR Added
IFIT2	2	#FF9900FF	RWR Added
DDX60	2	#FF9900FF	RWR Added
HERC6	2	#FF9900FF	RWR Added
SAMD9L	2	#FF9900FF	RWR Added
OAS3	2	#FF9900FF	RWR Added
DDX58	2	#FF9900FF	RWR Added
IFIH1	2	#FF9900FF	Disease Gene
RTP4	2	#FF9900FF	RWR Added
USP18	2	#FF9900FF	RWR Added
ISG15	2	#FF9900FF	Disease Gene
SP110	2	#FF9900FF	RWR Added
PARP12	2	#FF9900FF	RWR Added
PARP14	2	#FF9900FF	RWR Added
TRIM21	2	#FF9900FF	RWR Added
HERC5	2	#FF9900FF	RWR Added
RNF213	2	#FF9900FF	RWR Added
TRIM25	2	#FF9900FF	RWR Added
DTX3L	2	#FF9900FF	RWR Added
STAT2	2	#FF9900FF	Disease Gene
SP100	2	#FF9900FF	RWR Added
RNF145	2	#FF9900FF	RWR Added
IL13RA1	7	#99991EFF	RWR Added
LAP3	7	#99991EFF	RWR Added
IFNGR2	7	#99991EFF	Disease Gene
SOAT1	7	#99991EFF	RWR Added
DRAM1	7	#99991EFF	RWR Added
FAM49B	7	#99991EFF	RWR Added
EFHD2	7	#99991EFF	RWR Added
NPC2	7	#99991EFF	RWR Added
RAP2B	7	#99991EFF	RWR Added
MAN2B1	7	#99991EFF	RWR Added
SCO2	7	#99991EFF	RWR Added
JPT1	7	#99991EFF	RWR Added
CTSC	7	#99991EFF	RWR Added
STK10	7	#99991EFF	RWR Added
PSMB8	7	#99991EFF	RWR Added
ARHGDIB	7	#99991EFF	RWR Added
RGS19	7	#99991EFF	RWR Added
TMC6	7	#99991EFF	Disease Gene
NCSTN	3	#FFCC00FF	Disease Gene
PSENEN	3	#FFCC00FF	Disease Gene
STAT6	3	#FFCC00FF	RWR Added
RORC	3	#FFCC00FF	Disease Gene
TRERF1	3	#FFCC00FF	RWR Added
TLR3	3	#FFCC00FF	Disease Gene
SPRED1	3	#FFCC00FF	RWR Added
RHOU	3	#FFCC00FF	RWR Added
SPPL2A	3	#FFCC00FF	Disease Gene
ENTPD1	3	#FFCC00FF	RWR Added
SRGAP2	3	#FFCC00FF	RWR Added
CLEC11A	3	#FFCC00FF	RWR Added
CLMP	3	#FFCC00FF	RWR Added
NEK6	3	#FFCC00FF	RWR Added
UBC	3	#FFCC00FF	RWR Added
NOS2	3	#FFCC00FF	Disease Gene
LIMK2	3	#FFCC00FF	RWR Added
PPP1R18	3	#FFCC00FF	RWR Added
ARPC1B	3	#FFCC00FF	RWR Added
MAP3K11	3	#FFCC00FF	RWR Added
APOL3	3	#FFCC00FF	RWR Added
TNFSF10	3	#FFCC00FF	RWR Added
BST2	3	#FFCC00FF	RWR Added
MAP1LC3B2	3	#FFCC00FF	Disease Gene
CASP10	3	#FFCC00FF	RWR Added
TNFRSF10B	3	#FFCC00FF	RWR Added
TNFRSF10A	3	#FFCC00FF	RWR Added
TLR4	14	#358000FF	Disease Gene
CD14	14	#358000FF	RWR Added
LY96	14	#358000FF	Disease Gene
IRAK4	14	#358000FF	Disease Gene
TIRAP	14	#358000FF	Disease Gene
IRAK2	14	#358000FF	RWR Added
NFKBIA	14	#358000FF	RWR Added
NFKB1	14	#358000FF	RWR Added
